,Training Acc,Training Loss,Validation Acc,Validation Loss,0
0,0.383113294839859,0.14138343930244446,2.2136227873742746,5.352310233796028,
1,0.7080749273300171,0.43575572967529297,0.9297704412229302,4.127663251224271,
2,0.8159655928611755,0.70139080286026,0.562554478656305,1.0326599609551124,
3,0.8564630150794983,0.6614165902137756,0.43698716097387535,1.376656651735701,
4,0.8872889280319214,0.7665100693702698,0.33536312103015276,0.8358060679852858,
5,0.9122812151908875,0.8284056186676025,0.26473588529890724,0.5576761090958832,
6,0.9262818694114685,0.9217094779014587,0.22278822943463003,0.23564646613054224,
7,0.9377034306526184,0.27972736954689026,0.18369873503865294,6.688211503801419,
8,0.9451335668563843,0.5445334911346436,0.1636336605324495,2.643926994102349,
9,0.9504144787788391,0.9218016266822815,0.14749505093099882,0.24277733383525946,
10,0.9581209421157837,0.9448282122612,0.12380320948334442,0.1688648107023034,
11,0.9629720449447632,0.9027355909347534,0.11016554886010259,0.3190794474565495,
12,0.9655511379241943,0.941604495048523,0.10560456054856486,0.1786254289383416,
13,0.971845269203186,0.8900248408317566,0.08367356061374973,0.42274401538181283,
14,0.9737488627433777,0.9247490167617798,0.07830747706729245,0.25830170523226564,
15,0.9763585925102234,0.8836694955825806,0.06948275359534471,0.4423987193164231,
16,0.9793981909751892,0.9509072303771973,0.06372208854444908,0.16326755261517184,
17,0.9780473113059998,0.8742746710777283,0.06337110979447075,0.4587385756449315,
18,0.9811483025550842,0.9488809108734131,0.056223008561065026,0.17976570739196762,
19,0.9837580323219299,0.8407478928565979,0.04822243105458301,0.6915229787655583,
20,0.9854774475097656,0.8682877421379089,0.044105344390114015,0.5974649520673637,
21,0.9846791625022888,0.948051929473877,0.0457150850609093,0.1966042609294998,
22,0.9863064289093018,0.8886432647705078,0.03930545230011496,0.45986710609315884,
23,0.985416054725647,0.945841372013092,0.04394950556430404,0.19907734044901187,
24,0.9886705279350281,0.9077093005180359,0.03277181281225935,0.3587153964263256,
25,0.9884556531906128,0.892695963382721,0.035063241876013826,0.47514668699024765,
26,0.9879950881004333,0.9582757949829102,0.03526784200446482,0.14536395431281654,
27,0.9886705279350281,0.8625771403312683,0.034790719828012524,0.5966614197642828,
28,0.9894688129425049,0.8985907435417175,0.031705837417819266,0.4926094611173386,
29,0.9900829195976257,0.9742102026939392,0.029619388483443414,0.09567281132795558,
30,0.991925060749054,0.9686837792396545,0.023485800920011138,0.1212897333687363,
31,0.9913417100906372,0.957538902759552,0.025829202949381406,0.17074347437809512,
32,0.9910653829574585,0.9653679728507996,0.02685510271869831,0.13110439636670707,
33,0.9920172095298767,0.9568941593170166,0.023748040103274675,0.16904005542909503,
34,0.9913724064826965,0.9633415937423706,0.026411000401426295,0.14637307495384266,
35,0.9928154945373535,0.9684074521064758,0.022088059474300765,0.1305642799632316,
36,0.9943199157714844,0.9785391688346863,0.017088717271532987,0.09035337635190129,
37,0.9915566444396973,0.8895643353462219,0.025681438296779532,0.49804710451881157,
38,0.9926619529724121,0.9349728226661682,0.022099384810937758,0.2630192852309722,
39,0.9947497844696045,0.9083540439605713,0.015185550081630016,0.4288482576597343,
40,0.9932453036308289,0.8865247964859009,0.019723383693037312,0.703315924213188,
41,0.9924163222312927,0.9781707525253296,0.022242801975106467,0.088022792615816,
42,0.9937979578971863,0.9317491054534912,0.018943209922618262,0.29851371315166003,
43,0.9944734573364258,0.9521046280860901,0.017542842829159515,0.20392621141378375,
44,0.9951795935630798,0.970249593257904,0.01610721512306948,0.14003235293530628,
45,0.9948725700378418,0.9751312732696533,0.01654149184661253,0.09827562928710502,
46,0.9943199157714844,0.9772496819496155,0.016104331838665296,0.09031517158519009,
47,0.9945348501205444,0.9661968946456909,0.016786796432899213,0.1264597319665285,
48,0.9952102899551392,0.9677627086639404,0.014434431901451253,0.13035043616321837,
49,0.9946269392967224,0.9493414163589478,0.017184214224920273,0.2237099461749075,
