,Training Acc,Validation Acc,Training Loss,Validation Loss,0
0,0.37899908423423767,0.33416229486465454,2.966313382654714,3.2219812577739435,
1,0.6770954728126526,0.6170212626457214,1.5138329554306864,1.694257579840623,
2,0.7587350606918335,0.5752049088478088,1.1405424129315085,1.9753705394787386,
3,0.8126803636550903,0.32476744055747986,0.9267348074422572,4.223561493371242,
4,0.850721538066864,0.49829602241516113,0.7775860465045059,2.457083993495208,
5,0.8755603432655334,0.7486414313316345,0.669319143370686,1.0462930279673162,
6,0.8910039663314819,0.8626692295074463,0.6049437518276464,0.6978126209810138,
7,0.9036843776702881,0.3617021143436432,0.5591206946547206,4.6474164868077485,
8,0.9085968732833862,0.38887354731559753,0.5296729115170499,5.030035706578538,
9,0.919588565826416,0.8754720687866211,0.4956707017349253,0.6116145318786643,
10,0.9210930466651917,0.8150501847267151,0.47842370607679446,0.8245427663609326,
11,0.9218606352806091,0.252924382686615,0.46913424080634064,7.141709184657861,
12,0.9276021122932434,0.8157870769500732,0.44906038501931,0.8660968244103225,
13,0.9327601790428162,0.5954683423042297,0.43009153925131755,2.3363354429856535,
14,0.9284924864768982,0.7725890874862671,0.44074379640156996,1.0333251507860681,
15,0.933466374874115,0.8206686973571777,0.4196839086731995,0.8040081402006384,
16,0.9368744492530823,0.4247950613498688,0.4092880551383874,4.41362502246181,
17,0.9379490613937378,0.4273740351200104,0.4049203650512906,4.3732663629446344,
18,0.9380411505699158,0.758681058883667,0.4033838858551726,1.3276355643375393,
19,0.9385324120521545,0.7480887770652771,0.39048538350934514,1.1160255879221386,
