,Training Acc,Training Loss,Validation Acc,Validation Loss,0
0,0.6369616985321045,0.16420581936836243,1.0556280223661632,1.736161072888897,
1,0.8184269666671753,0.16420581936836243,0.5012530249647433,2.0163130195082166,
2,0.8915355801582336,0.1051454171538353,0.315932410477699,2.9188308880633156,
3,0.976779043674469,0.31454139947891235,0.07877949434915062,1.7606325029526781,
4,0.9731835126876831,0.20581655204296112,0.08295575639114398,4.143763095209629,
5,0.9838201999664307,0.9601789712905884,0.05291176038037302,0.0907264525993775,
6,0.9851685166358948,0.2657718062400818,0.04952872954113653,2.9825846625254457,
7,0.9727340936660767,0.4120805263519287,0.13707808379990777,1982.1290251337175,
8,0.9755805134773254,0.6630872488021851,0.07592733072319281,1.2260304062550167,
9,0.9889138340950012,0.9637584090232849,0.03656349416832659,0.1275258789448926,
10,0.9884644150733948,0.9870246052742004,0.039013087210848875,0.04672647949508173,
11,0.9907116293907166,0.6818792223930359,0.05951142824460728,5.486103224510981,
12,0.9782771468162537,0.7901566028594971,0.07610685338046444,0.790964879630596,
13,0.9926591515541077,0.9959731698036194,0.02516346731254559,0.014303846694987426,
14,0.9962546825408936,0.9874720573425293,0.012242082120093764,0.044441349688796684,
