,Training Acc,Training Loss,Validation Acc,Validation Loss,0
0,0.7645348906517029,0.49572649598121643,0.750614864015302,270846041.7094017,
1,0.9723233580589294,0.49572649598121643,0.10110470038300783,1604.108826582215,
2,0.9905316829681396,0.5256410241127014,0.03358799776161403,4.972610319345253,
3,0.9847050309181213,0.49572649598121643,0.04651296302592769,24.00614636211822,
4,0.9934450387954712,0.49572649598121643,0.022364073890164354,2.386179185217708,
5,0.9978150129318237,0.6538461446762085,0.011476377582734414,1.8612192464839672,
6,0.9970866441726685,0.6047008633613586,0.0066747010003333435,1.860913297911692,
7,0.9941733479499817,0.7606837749481201,0.011793285963843774,1.1503153315976136,
8,0.9890750050544739,0.9188033938407898,0.04245875069214176,0.34492622178026006,
9,0.996358335018158,0.995726466178894,0.013758829395637426,0.03995453789019182,
